date,portfolio,total_value,cumulative_return,drawdown
2026-01-22,ベースライン（フィルタなし）,2322200.2764999997,-0.7677799723500003,-0.8133953037448702
2017-01-31,フィルタA（予想リビジョン）,10000000.0,,0.0
2017-02-28,フィルタA（予想リビジョン）,9926260.0,-0.007373999999999992,-0.007374
2017-03-31,フィルタA（予想リビジョン）,9414770.0,-0.05852299999999999,-0.058523
2017-04-28,フィルタA（予想リビジョン）,9309800.0,-0.06902000000000008,-0.06902
2017-05-31,フィルタA（予想リビジョン）,9762490.0,-0.023751000000000078,-0.023751
2017-06-30,フィルタA（予想リビジョン）,10267480.0,0.026747999999999994,0.0
2017-07-31,フィルタA（予想リビジョン）,10343090.0,0.03430899999999992,0.0
2017-08-31,フィルタA（予想リビジョン）,10778420.0,0.07784199999999997,0.0
2017-09-29,フィルタA（予想リビジョン）,11072030.0,0.10720299999999994,0.0
2017-10-31,フィルタA（予想リビジョン）,11596050.0,0.159605,0.0
2017-11-30,フィルタA（予想リビジョン）,11957780.0,0.195778,0.0
2017-12-29,フィルタA（予想リビジョン）,12597880.0,0.25978800000000013,0.0
2018-01-31,フィルタA（予想リビジョン）,12256785.976,0.22567859759999997,-0.027075509847688674
2018-02-28,フィルタA（予想リビジョン）,11557785.976,0.1557785975999999,-0.08256103598383221
2018-03-30,フィルタA（予想リビジョン）,11022635.976,0.10226359759999992,-0.12504040552854925
2018-04-27,フィルタA（予想リビジョン）,11309485.976,0.1309485976,-0.10227070141960395
2018-05-31,フィルタA（予想リビジョン）,11478785.976,0.1478785976000001,-0.08883193235687276
2018-06-29,フィルタA（予想リビジョン）,10667595.976,0.06675959760000016,-0.15322292512708488
2018-07-31,フィルタA（予想リビジョン）,11107135.976,0.11071359760000021,-0.11833292776244894
2018-08-31,フィルタA（予想リビジョン）,10929675.976,0.09296759760000017,-0.13241942485561065
2018-09-28,フィルタA（予想リビジョン）,11138545.976,0.11385459760000027,-0.11583965111590205
