Code,Price_Now,Price_6M,Return_6M,Eq,BPS_Final,Sales,OP,SharesOut,MarketCap,PBR,OP_Margin
7581,6660.0,5260.0,26.615969581749056,120908000000.0,2447.15,70285000000.0,4660000000.0,52272342.0,329055137609.0554,2.7215332121038758,6.630148680372767
6454,7010.0,5760.0,21.701388888888886,109465000000.0,2431.75,74323000000.0,13770000000.0,46537426.0,315554497789.65765,2.882697645728385,18.52723921262597
4368,8890.0,4780.0,85.98326359832636,113142000000.0,3208.31,57928000000.0,14563000000.0,35511000.0,313508476425.2831,2.7709292431217682,25.13982875293468
5857,3845.0,2173.0,76.94431661297745,140672000000.0,1764.8264389949563,137120000000.0,5928000000.0,79708688.0,306479905360.0,2.178684495564149,4.323220536756126
6951,5994.0,4965.0,20.72507552870091,149508000000.0,2931.47,129804000000.0,21398000000.0,51532800.0,305700195465.07385,2.0447079451606194,16.484854087701457
6407,4395.0,2464.0,78.36850649350649,145749000000.0,2146.225630545169,112016000000.0,12510000000.0,67909449.0,298462028355.0,2.0477809683428356,11.168047421796887
2222,1926.5,1845.5,4.3890544567867895,44629000000.0,288.96,58485000000.0,14011000000.0,155658402.0,297542111364.89484,6.667012735326689,23.956570060699324
8876,1920.0,1760.0,9.090909090909083,80111000000.0,523.545872920645,108968000000.0,21360000000.0,153016200.0,293791104000.0,3.6673004206663253,19.60208501578445
1885,3335.0,2226.0,49.82030548068283,110649000000.0,1257.682045921302,256720000000.0,19790000000.0,87978516.0,293408350860.0,2.651703592983217,7.708787784356497
6366,1076.0,425.0,153.1764705882353,109121000000.0,419.17294701030653,388191000000.0,77694000000.0,260324529.0,280109193204.0,2.566959551360416,20.014374367257357
6744,4535.0,3895.0,16.43132220795893,130624000000.0,2147.2636845689635,92582000000.0,7980000000.0,60832771.0,275876616485.00006,2.111990265839356,8.619386057765007
6777,22820.0,8360.0,172.9665071770335,24807000000.0,2109.4,21248000000.0,6836000000.0,11961100.0,268368133118.4223,10.818242154167061,32.172439759036145
2782,4250.0,3130.0,35.78274760383386,85921000000.0,1370.98,121382000000.0,8351000000.0,75840000.0,266352718493.34055,3.0999722826007674,6.879932774216934
4046,1983.0,1797.0,10.350584307178634,122952000000.0,919.8856936234928,73688000000.0,12937000000.0,133660085.0,265047948555.0,2.1557026201688463,17.556454239496254
6834,27370.0,8900.0,207.52808988764048,31329000000.0,3356.5632495054992,20169000000.0,4844000000.0,9333654.0,255462109980.0,8.154173768074308,24.017055877832316
7806,6270.0,4345.0,44.303797468354425,53833000000.0,1340.4166867522918,34410000000.0,5662000000.0,40161392.0,251811927840.0,4.677649914364795,16.454519035164196
6278,14410.0,8680.0,66.01382488479261,79998000000.0,4594.06,40165000000.0,8728000000.0,19780000.0,250926452854.33798,3.1366590771561533,21.73036225569526
8919,3170.0,2786.0,13.783201722900218,50073000000.0,636.6508905712656,112414000000.0,14248000000.0,78650640.0,249322528800.0,4.979180971781199,12.674577899549877
3186,3140.0,2290.0,37.117903930131014,79195000000.0,1012.23,652072000000.0,19597000000.0,80877900.0,245667783013.74194,3.1020617843770686,3.0053429682611736
8628,937.0,802.0,16.83291770573565,77630000000.0,300.23,37293000000.0,16509000000.0,259264702.0,242278619724.8776,3.120940612197315,44.26836135467782
6013,2926.0,2291.0,27.717154081187246,108845000000.0,1351.493975424899,113807000000.0,9502000000.0,80536800.0,235650676800.0,2.1650115007579585,8.349222807032959
7716,2762.0,2090.0,32.15311004784689,114074000000.0,1368.88,81179000000.0,14089000000.0,93418200.0,230168011805.27145,2.0177079071942026,17.35547370625408
6670,2198.0,1418.0,55.00705218617772,94718000000.0,930.6635146062823,162593000000.0,17117000000.0,101774700.0,223700790600.0,2.3617558499968325,10.527513484590358
4099,5050.0,2184.0,131.22710622710622,94599000000.0,2168.7,70705000000.0,10869000000.0,44869563.0,220281712546.68698,2.328583944298428,15.372321617990242
5384,2888.0,2123.0,36.03391427225624,82013000000.0,1094.33,51447000000.0,10497000000.0,80098500.0,216437038187.74957,2.6390576882658796,20.4035220712578
6814,6750.0,5780.0,16.782006920415228,82445000000.0,2594.99,102756000000.0,12679000000.0,31894554.0,214453138547.74008,2.6011660931255998,12.33893884542022
7685,6660.0,3530.0,88.6685552407932,21429000000.0,677.58,100614000000.0,9044000000.0,30877880.0,210627733994.50986,9.829097671123705,8.988808714493013
9861,3150.0,3078.0,2.3391812865497075,66699000000.0,1024.0972309377564,166628000000.0,5558000000.0,65129558.0,205158107700.0,3.0758798137903116,3.335573853133927
5727,2829.0,1758.0,60.92150170648465,58908000000.0,826.5363806916455,61323000000.0,2928000000.0,71270910.0,201625404390.0,3.4227168532287635,4.774717479575363
