date,portfolio_value,total_value,peak,drawdown,daily_return
2022-07-01,7687080.0,8091663.157894737,19144631.57894737,-0.5773403565105513,-0.029815784292443137
2022-07-04,7693120.0,8098021.052631579,19144631.57894737,-0.5770082584646513,0.0007857339848160727
2022-07-05,7779820.0,8189284.210526316,19144631.57894737,-0.5722412219448628,0.011269809908073691
2022-07-06,7737830.0,8145084.210526316,19144631.57894737,-0.5745499631613095,-0.005397297109701715
2022-07-07,7793170.0,8203336.842105264,19144631.57894737,-0.5715071972904319,0.007151875913531391
2022-07-08,7856770.0,8270284.210526316,19144631.57894737,-0.56801027084685,0.008160992253473331
2022-07-11,8045470.0,8468915.789473685,19144631.57894737,-0.557634956068487,0.024017503376069227
2022-07-12,8190320.0,8621389.47368421,19144631.57894737,-0.5496706511101093,0.018003920218458314
2022-07-13,8256200.0,8690736.842105264,19144631.57894737,-0.5460483631525122,0.008043641762470966
2022-07-14,8357270.0,8797126.315789474,19144631.57894737,-0.5404912191957069,0.012241709260919054
2022-07-15,8200250.0,8631842.105263159,19144631.57894737,-0.5491246687267008,-0.01878843210761405
2022-07-19,8476400.0,8922526.315789474,19144631.57894737,-0.5339410800884129,0.03367580256699476
2022-07-20,8892750.0,9360789.47368421,19144631.57894737,-0.5110488580005939,0.049118729649379356
2022-07-21,8678120.0,9134863.157894738,19144631.57894737,-0.5228498850852787,-0.02413539118945196
2022-07-22,8662600.0,9118526.315789474,19144631.57894737,-0.5237032231105051,-0.001788405783741287
2022-07-25,8363450.0,8803631.578947369,19144631.57894737,-0.5401514235129815,-0.034533511878650724
2022-07-26,8687250.0,9144473.684210526,19144631.57894737,-0.5223478891980162,0.03871608008656713
2022-07-27,8576220.0,9027600.0,19144631.57894737,-0.5284526650318352,-0.012780799447466018
2022-07-28,8620900.0,9074631.578947369,19144631.57894737,-0.5259960192220988,0.00520975441394933
2022-07-29,8548320.0,8998231.578947369,19144631.57894737,-0.5299866940849159,-0.008419074574580354
2022-08-01,8790320.0,9252968.421052633,19144631.57894737,-0.5166807790008466,0.028309656166357833
2022-08-02,8722220.0,9181284.210526315,19144631.57894737,-0.5204251294852481,-0.007747158237698004
2022-08-03,8590850.0,9043000.0,19144631.57894737,-0.5276482619835711,-0.015061532499753505
2022-08-04,8618100.0,9071684.210526315,19144631.57894737,-0.5261499719586087,0.003171979489805965
2022-08-05,8679530.0,9136347.368421054,19144631.57894737,-0.5227723588858221,0.007128021257585937
2022-08-08,8849020.0,9314757.894736843,19144631.57894737,-0.5134532698461571,0.019527555063465485
2022-08-09,8881600.0,9349052.631578948,19144631.57894737,-0.5116619197906243,0.0036817636303227985
2022-08-10,8596350.0,9048789.47368421,19144631.57894737,-0.5273458548225695,-0.03211696090794469
2022-08-12,8776650.0,9238578.94736842,19144631.57894737,-0.5174323982537361,0.020974018042541287
2022-08-15,8759430.0,9220452.631578948,19144631.57894737,-0.5183792075832719,-0.0019620242347591077
2022-08-16,8873880.0,9340926.315789474,19144631.57894737,-0.5120863894784301,0.013065918672790389
2022-08-17,8934380.0,9404610.52631579,19144631.57894737,-0.5087599107074128,0.0068177617907836385
2022-08-18,8967650.0,9439631.578947369,19144631.57894737,-0.5069306222989542,0.003723817433330723
2022-08-19,9062570.0,9539547.368421054,19144631.57894737,-0.5017116245312688,0.010584712828890508
2022-08-22,8878120.0,9345389.47368421,19144631.57894737,-0.511853261048858,-0.020352946239311942
2022-08-23,8898100.0,9366421.05263158,19144631.57894737,-0.5107546983076195,0.0022504764522219833
2022-08-24,8907630.0,9376452.631578948,19144631.57894737,-0.5102307091722841,0.0010710151605399787
2022-08-25,8951500.0,9422631.578947369,19144631.57894737,-0.5078185996898952,0.004924991271527901
2022-08-26,8902580.0,9371136.842105264,19144631.57894737,-0.5105083739292037,-0.00546500586493881
2022-08-29,8859620.0,9325915.789473685,19144631.57894737,-0.5128704487722269,-0.0048255674197816845
2022-08-30,9066050.0,9543210.52631579,19144631.57894737,-0.5015202832730352,0.02330009639239594
2022-08-31,9059830.0,9536663.157894738,19144631.57894737,-0.5018622782805678,-0.0006860760750270201
2022-09-01,8847070.0,9312705.263157895,19144631.57894737,-0.5135604869305124,-0.023483884355446127
2022-09-02,8777900.0,9239894.736842105,19144631.57894737,-0.5173636693535085,-0.007818407676213779
