date,total_value,peak,drawdown
2018-10-15,8759063.157894738,12700831.578947369,-0.3103551445864713
2018-10-16,8965642.105263159,12700831.578947369,-0.2940901507485212
2018-10-17,9177600.0,12700831.578947369,-0.27740164547866325
2018-10-18,9244242.105263159,12700831.578947369,-0.2721545791862779
2018-10-19,9255894.736842105,12700831.578947369,-0.2712371092153933
2018-10-22,9296431.578947369,12700831.578947369,-0.26804544087042786
2018-10-23,9165273.684210526,12700831.578947369,-0.27837215797722326
2018-10-24,9268305.263157895,12700831.578947369,-0.2702599664008739
2018-10-25,8936031.578947369,12700831.578947369,-0.296421535597752
2018-10-26,8939673.684210526,12700831.578947369,-0.2961347744325072
2018-10-29,8775084.210526315,12700831.578947369,-0.3090937269751919
2018-10-30,8957968.421052633,12700831.578947369,-0.2946943382903232
2018-10-31,9231294.736842105,12700831.578947369,-0.27317399026503864
2018-11-01,9211400.0,12700831.578947369,-0.2747404024104514
2018-11-02,9363189.47368421,12700831.578947369,-0.2627892578935984
2018-11-05,9319326.315789474,12700831.578947369,-0.2662428237189608
2018-11-06,9352547.368421054,12700831.578947369,-0.26362716407296993
2018-11-07,9557631.578947369,12700831.578947369,-0.24747985834329952
2018-11-08,9898115.789473685,12700831.578947369,-0.22067183334037807
2018-11-09,9813989.47368421,12700831.578947369,-0.22729551898383782
2018-11-12,9774221.05263158,12700831.578947369,-0.23042668569567348
2018-11-13,9866547.368421054,12700831.578947369,-0.22315737303566527
2018-11-14,9750768.421052633,12700831.578947369,-0.23227322869037165
2018-11-15,9772378.94736842,12700831.578947369,-0.23057172385728583
2018-11-16,9621557.894736843,12700831.578947369,-0.2424466197406054
2018-11-19,9889494.736842105,12700831.578947369,-0.22135061193672362
2018-11-20,9862484.210526315,12700831.578947369,-0.22347728578070733
2018-11-21,9919168.421052633,12700831.578947369,-0.21901425435052319
2018-11-22,9917873.684210528,12700831.578947369,-0.21911619545839925
2018-11-26,10014557.894736843,12700831.578947369,-0.21150376394749115
2018-11-27,10134757.894736843,12700831.578947369,-0.20203981670491525
2018-11-28,10096463.157894738,12700831.578947369,-0.20505495288746112
2018-11-29,10298400.0,12700831.578947369,-0.18915545521677407
2018-11-30,10337200.0,12700831.578947369,-0.1861005371384717
2018-12-03,10605400.0,12700831.578947369,-0.16498380959721662
2018-12-04,10317926.315789474,12700831.578947369,-0.18761805070368373
2018-12-05,10346073.684210528,12700831.578947369,-0.1854018675942478
2018-12-06,10084568.421052633,12700831.578947369,-0.20599148501672906
2018-12-07,10348831.578947369,12700831.578947369,-0.18518472474657688
2018-12-10,9829800.0,12700831.578947369,-0.22605067716245686
2018-12-11,9717294.736842105,12700831.578947369,-0.23490877928424087
2018-12-12,9987494.736842105,12700831.578947369,-0.21363458173894959
2018-12-13,10030389.47368421,12700831.578947369,-0.21025726454712046
2018-12-14,9795705.263157895,12700831.578947369,-0.22873512633652668
2018-12-17,9716242.105263159,12700831.578947369,-0.23499165823373352
2018-12-18,9434873.684210526,12700831.578947369,-0.25714520143314284
2018-12-19,9498157.894736843,12700831.578947369,-0.25216251898963926
2018-12-20,9140673.684210526,12700831.578947369,-0.2803090390268686
2018-12-21,9028073.684210526,12700831.578947369,-0.2891746002541069
2018-12-25,8692273.684210526,12700831.578947369,-0.3156138139317857
2018-12-26,8891389.47368421,12700831.578947369,-0.2999364318457391
2018-12-27,9434600.0,12700831.578947369,-0.25716674996001093
2018-12-28,9416915.789473685,12700831.578947369,-0.2585591163114889
2019-01-04,9547547.368421054,12700831.578947369,-0.24827383867943995
2019-01-07,9789768.421052633,12700831.578947369,-0.22920256361166563
2019-01-08,9894094.736842105,12700831.578947369,-0.22098843092744036
2019-01-09,9774242.105263159,12700831.578947369,-0.23042502811668358
2019-01-10,9729821.05263158,12700831.578947369,-0.23392251978527723
2019-01-11,9847557.894736843,12700831.578947369,-0.22465250928451427
2019-01-15,9847400.0,12700831.578947369,-0.22466494112693827
2019-01-16,9810842.105263159,12700831.578947369,-0.22754332704282104
2019-01-17,9788168.421052633,12700831.578947369,-0.2293285396148946
2019-01-18,9893715.789473685,12700831.578947369,-0.2210182673492577
2019-01-21,9852263.157894738,12700831.578947369,-0.2242820403802817
2019-01-22,9770821.05263158,12700831.578947369,-0.23069438470253503
2019-01-23,9641305.263157895,12700831.578947369,-0.2408918106481217
2019-01-24,9725789.47368421,12700831.578947369,-0.23423994616183447
2019-01-25,9902852.631578948,12700831.578947369,-0.2202988780676607
2019-01-28,9909863.157894738,12700831.578947369,-0.219746904264039
2019-01-29,10097263.157894738,12700831.578947369,-0.20499196488584662
2019-01-30,9895757.894736843,12700831.578947369,-0.22085748218724174
2019-01-31,10006389.47368421,12700831.578947369,-0.21214690459555494
2019-02-01,10124400.0,12700831.578947369,-0.2028553455679239
2019-02-04,10426505.263157895,12700831.578947369,-0.1790690870635077
2019-02-05,10410526.315789474,12700831.578947369,-0.18032718951680743
2019-02-06,10484694.736842105,12700831.578947369,-0.17448753873554906
2019-02-07,10287515.789473685,12700831.578947369,-0.19001242355452896
2019-02-08,10212526.315789474,12700831.578947369,-0.1959167199163917
2019-02-12,10452715.789473685,12700831.578947369,-0.17700540122113845
2019-02-13,10550736.842105264,12700831.578947369,-0.16928771344437454
2019-02-14,10507757.894736843,12700831.578947369,-0.17267166095216305
2019-02-15,10626768.421052633,12700831.578947369,-0.16330136692251393
2019-02-18,10668368.421052633,12700831.578947369,-0.16002599083856087
2019-02-19,10705926.315789474,12700831.578947369,-0.15706886992066
2019-02-20,10661673.684210528,12700831.578947369,-0.1605531009573347
2019-02-21,10700642.105263159,12700831.578947369,-0.15748492224711352
2019-02-22,10702410.52631579,12700831.578947369,-0.15734568561196574
2019-02-25,10881663.157894738,12700831.578947369,-0.1432322293028471
2019-02-26,10828200.0,12700831.578947369,-0.14744165114758342
2019-02-27,10997347.368421054,12700831.578947369,-0.13412383275359505
2019-02-28,10848915.789473685,12700831.578947369,-0.14581059342156627
2019-03-01,10863652.631578948,12700831.578947369,-0.14465028812866787
2019-03-04,10876621.05263158,12700831.578947369,-0.14362921947091736
2019-03-05,10958452.631578948,12700831.578947369,-0.13718620993735176
2019-03-06,11070452.631578948,12700831.578947369,-0.1283678897113243
2019-03-07,10954463.157894738,12700831.578947369,-0.13750032115592922
2019-03-08,10724610.52631579,12700831.578947369,-0.15559776856716387
