date,estimated_capital,peak,drawdown
2017-05-26,14981989.05926511,14981989.05926511,0.0
2017-05-29,15045588.919596154,15045588.919596154,0.0
2017-05-30,15066788.873039836,15066788.873039836,0.0
2017-05-31,15087988.826483518,15087988.826483518,0.0
2017-06-01,15109188.779927198,15109188.779927198,0.0
2017-06-02,15130388.733370878,15130388.733370878,0.0
2017-06-05,15193988.593701923,15193988.593701923,0.0
2017-06-06,15215188.547145603,15215188.547145603,0.0
2017-06-07,15236388.500589287,15236388.500589287,0.0
2017-06-08,15257588.454032969,15257588.454032969,0.0
2017-06-09,15278788.407476649,15278788.407476649,0.0
2017-06-12,15342388.267807694,15342388.267807694,0.0
2017-06-13,15363588.221251374,15363588.221251374,0.0
2017-06-14,15384788.174695054,15384788.174695054,0.0
2017-06-15,15405988.128138736,15405988.128138736,0.0
2017-06-16,15427188.08158242,15427188.08158242,0.0
2017-06-19,15490787.941913461,15490787.941913461,0.0
2017-06-20,15511987.895357145,15511987.895357145,0.0
2017-06-21,15533187.848800825,15533187.848800825,0.0
2017-06-22,15554387.802244505,15554387.802244505,0.0
2017-06-23,15575587.755688187,15575587.755688187,0.0
2017-06-26,15639187.61601923,15639187.61601923,0.0
2017-06-27,15660387.569462912,15660387.569462912,0.0
2017-06-28,15681587.522906594,15681587.522906594,0.0
2017-06-29,15702787.476350276,15702787.476350276,0.0
2017-06-30,15723987.429793956,15723987.429793956,0.0
2017-07-03,15787587.290125,15787587.290125,0.0
2017-07-04,15808787.243568681,15808787.243568681,0.0
2017-07-05,15829987.197012363,15829987.197012363,0.0
2017-07-06,15851187.150456045,15851187.150456045,0.0
2017-07-07,15872387.103899725,15872387.103899725,0.0
2017-07-10,15935986.96423077,15935986.96423077,0.0
2017-07-11,15957186.91767445,15957186.91767445,0.0
2017-07-12,15978386.87111813,15978386.87111813,0.0
2017-07-13,15999586.824561814,15999586.824561814,0.0
2017-07-14,16020786.778005496,16020786.778005496,0.0
2017-07-18,16105586.591780221,16105586.591780221,0.0
2017-07-19,16126786.545223901,16126786.545223901,0.0
2017-07-20,16147986.498667581,16147986.498667581,0.0
2017-07-21,16169186.452111265,16169186.452111265,0.0
2017-07-24,16232786.312442306,16232786.312442306,0.0
2017-07-25,16253986.265885988,16253986.265885988,0.0
2017-07-26,16275186.219329672,16275186.219329672,0.0
2017-07-27,16296386.172773352,16296386.172773352,0.0
2017-07-28,16317586.126217032,16317586.126217032,0.0
2017-07-31,16381185.986548077,16381185.986548077,0.0
2017-08-01,16402385.93999176,16402385.93999176,0.0
2017-08-02,16423585.89343544,16423585.89343544,0.0
2017-08-03,16444785.846879123,16444785.846879123,0.0
2017-08-04,16465985.800322803,16465985.800322803,0.0
2017-08-07,16529585.660653846,16529585.660653846,0.0
2017-08-08,16550785.614097528,16550785.614097528,0.0
2017-08-09,16571985.567541208,16571985.567541208,0.0
2017-08-10,16593185.52098489,16593185.52098489,0.0
2017-08-14,16677985.334759615,16677985.334759615,0.0
2017-08-15,16699185.288203297,16699185.288203297,0.0
2017-08-16,16720385.24164698,16720385.24164698,0.0
2017-08-17,16741585.19509066,16741585.19509066,0.0
2017-08-18,16762785.14853434,16762785.14853434,0.0
2017-08-21,16826385.008865383,16826385.008865383,0.0
2017-08-22,16847584.962309066,16847584.962309066,0.0
2017-08-23,16868784.91575275,16868784.91575275,0.0
2017-08-24,16889984.86919643,16889984.86919643,0.0
2017-08-25,16911184.82264011,16911184.82264011,0.0
2017-08-28,16974784.682971157,16974784.682971157,0.0
2017-08-29,16995984.636414837,16995984.636414837,0.0
