month,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2022-09,2022-09-01,2022-10-03,-0.024169850584465177,-0.032868566880917716,-0.052688983272623086,10,11.191215491627055,1.3161167630098234,1.832900815268468
2022-10,2022-10-03,2022-11-01,0.01682303549523618,0.022892988333448487,0.007395108043730667,42,11.379485707077533,1.3462466087108633,1.8464553148308205
2022-11,2022-11-01,2022-12-01,0.06435761689956421,0.0353898810495456,0.038692618120817125,102,12.111842288727694,1.393890116056495,1.9178995052047225
2022-12,2022-12-01,2023-01-04,-0.048039172998655205,-0.054423990676161285,-0.04711164447301619,9,11.529999401687075,1.3180290533766428,1.827544105580544
2023-01,2023-01-04,2023-02-01,0.06321726412099607,0.051538746564388414,0.05892083664078375,44,12.258894419178453,1.3859586187231223,1.9352245332792826
2023-02,2023-02-01,2023-03-01,0.055633635402041054,0.029231020717474417,0.03937783002851189,105,12.940901281727143,1.42647160382058,2.0114294760177605
2023-03,2023-03-01,2023-04-03,0.04133679164337461,0.01793524262446605,0.02279581871489189,12,13.475836621687378,1.4520557181320135,2.0572816577108513
2023-04,2023-04-03,2023-05-01,0.040035611781254206,0.012324450332675367,0.00921553898655718,37,14.015349985100862,1.4699515067104088,2.0762406170338146
2023-05,2023-05-01,2023-06-01,0.051462502929377,0.0010763678434321177,0.02849086402718564,132,14.736614974765358,1.4715337152436363,2.135394506141445
2023-06,2023-06-01,2023-07-03,0.07680434039058112,0.05694936746611161,0.031074033651610555,9,15.868450967492171,1.5553366295318187,2.2017498268847486
2023-07,2023-07-03,2023-08-01,0.03213703246748137,0.002898017643349838,-0.0028655291863405644,50,16.378415891443105,1.55984402252555,2.1954406484947904
2023-08,2023-08-01,2023-09-01,0.05168655729931686,0.01389455275065892,0.017134940119906395,130,17.22495982288822,1.5815173575793313,2.233059392543557
2023-09,2023-09-01,2023-10-02,0.08919505259591361,-0.018852274537742516,-0.007531493473401258,8,18.761341020253234,1.5517021581680406,2.216241120302898
2023-10,2023-10-02,2023-11-01,-0.040379668913229694,-0.03733668810169585,-0.0640581446960761,42,18.003764281487214,1.493766738661792,2.074272825937141
