date,rebalance_date,value,n_stocks,valid_stocks,normalized_value,cumulative_value,daily_return,peak,drawdown,year_month
2019-08-13,2018-10-01,0.8200432233901045,20,20,0.8200432233901045,1.1416714971524051,-0.019554483321725824,1.3974187337491517,-0.18301403181464385,2019-08
2019-08-14,2018-10-01,0.8228731634589244,20,20,0.8228731634589244,1.145611364982621,0.0034509645200417882,1.3974187337491517,-0.1801946422250643,2019-08
2019-08-15,2018-10-01,0.816083702734894,20,20,0.816083702734894,1.1361590171446414,-0.00825092009987427,1.3974187337491517,-0.18695879072951416,2019-08
2019-08-16,2018-10-01,0.8153920014721473,20,20,0.8153920014721473,1.1351960244709656,-0.0008475861733651113,1.3974187337491517,-0.18764791321686783,2019-08
2019-08-19,2018-10-01,0.8284828486121997,20,19,0.8284828486121997,1.1534212187376673,0.01605466710050818,1.3974187337491517,-0.17460587089516144,2019-08
2019-08-20,2018-10-01,0.8332621578671313,20,20,0.8332621578671313,1.160075015753238,0.005768748578123706,1.3974187337491517,-0.1698443796864962,2019-08
2019-08-21,2018-10-01,0.8304675912669409,20,20,0.8304675912669409,1.1561843951818713,-0.003353766367290012,1.3974187337491517,-0.17262852768552045,2019-08
2019-08-22,2018-10-01,0.8329173307357313,20,19,0.8329173307357313,1.1595949443422011,0.002949831510044909,1.3974187337491517,-0.1701879212459749,2019-08
2019-08-23,2018-10-01,0.8269274893357806,20,20,0.8269274893357806,1.1512558336664045,-0.0071913996490620136,1.3974187337491517,-0.17615543153791405,2019-08
2019-08-26,2018-10-01,0.8146246319963839,20,20,0.8146246319963839,1.1341276858355434,-0.014877794604795325,1.3974187337491517,-0.18841242181376916,2019-08
2019-08-27,2018-10-01,0.8046978465277105,20,19,0.8046978465277105,1.1203075264772606,-0.012185717296991139,1.3974187337491517,-0.1983021986032963,2019-08
2019-08-28,2018-10-01,0.8071295136282272,20,19,0.8071295136282272,1.1236929151251251,0.0030218387075464648,1.3974187337491517,-0.1958795971552809,2019-08
2019-08-29,2018-10-01,0.824523920648515,20,20,0.824523920648515,1.1479095638803374,0.021550949044219614,1.3974187337491517,-0.17855003932815697,2019-08
2019-08-30,2018-10-01,0.8419179551598258,20,20,0.8419179551598258,1.1721256940252263,0.021095851891877127,1.3974187337491517,-0.16122085262123545,2019-08
2019-09-02,2018-10-01,0.8212104766377322,20,18,0.8212104766377322,1.143296557545278,-0.024595601501529507,1.3974187337491517,-0.18185113027795627,2019-09
2019-09-03,2018-10-01,0.8415817029024594,20,19,0.8415817029024594,1.1716575606303774,0.024806339963090673,1.3974187337491517,-0.1615558512752129,2019-09
2019-09-04,2018-10-01,0.8334406295543124,20,20,0.8334406295543124,1.160323485629571,-0.009673538909020896,1.3974187337491517,-0.169666573370943,2019-09
2019-09-05,2018-10-01,0.83307512611452,20,19,0.83307512611452,1.1598146284773867,-0.00043854766234274756,1.3974187337491517,-0.17003071415415627,2019-09
2019-09-06,2018-10-01,0.8362597674328113,20,19,0.8362597674328113,1.1642483145539773,0.0038227540571815766,1.3974187337491517,-0.16685794569935292,2019-09
2019-09-09,2018-10-01,0.8580746486069784,20,20,0.8580746486069784,1.1946191868933067,0.02608624977994012,1.3974187337491517,-0.14512439396869373,2019-09
2019-09-10,2018-10-01,0.861350856520158,20,20,0.861350856520158,1.19918035280083,0.0038180919556338733,1.3974187337491517,-0.14186040029423788,2019-09
2019-09-11,2018-10-01,0.8821818721474695,20,19,0.8821818721474695,1.228181478741632,0.02418412365835243,1.3974187337491517,-0.12110704609882461,2019-09
2019-09-12,2018-10-01,0.8627632628110438,20,19,0.8627632628110438,1.2011467174493138,-0.02201202490043863,1.3974187337491517,-0.14045325968491731,2019-09
2019-09-13,2018-10-01,0.8749037554497918,20,19,0.8749037554497918,1.2180488196942996,0.01407163837643255,1.3974187337491517,-0.12835802878756206,2019-09
2019-09-17,2018-10-01,0.8783812349270166,20,19,0.8783812349270166,1.2228901976702886,0.003974699451869457,1.3974187337491517,-0.12489351392235766,2019-09
2019-09-18,2018-10-01,0.8848701064742267,20,20,0.8848701064742267,1.2319240625725645,0.007387306660472159,1.3974187337491517,-0.1184288339491339,2019-09
2019-09-19,2018-10-01,0.8866420526988712,20,20,0.8866420526988712,1.2343909819268886,0.002002493034491515,1.3974187337491517,-0.11666349382970845,2019-09
2019-09-20,2018-10-01,0.8743082711074844,20,19,0.8743082711074844,1.2172197810763077,-0.013910666151964679,1.3974187337491517,-0.1289512930668863,2019-09
2019-09-24,2018-10-01,0.8952506159011507,20,20,0.8952506159011507,1.2463759004764834,0.023953044350293773,1.3974187337491517,-0.10808702475845136,2019-09
2019-09-25,2018-10-01,0.8939714702798589,20,20,0.8939714702798589,1.2445950625219926,-0.0014288128916886134,1.3974187337491517,-0.10936140151574084,2019-09
2019-09-26,2018-10-01,0.8986139680702582,20,20,0.8986139680702582,1.2510583893951548,0.0051931162735494585,1.3974187337491517,-0.104736211716101,2019-09
2019-09-27,2018-10-01,0.8890991824936453,20,20,0.8890991824936453,1.2378118199650356,-0.010588290316748017,1.3974187337491517,-0.1142155246165226,2019-09
2019-09-30,2018-10-01,0.8822672183390482,20,20,0.8822672183390482,1.22830029847154,-0.007684141757318352,1.3974187337491517,-0.12102201809180109,2019-09
2019-10-01,2019-10-01,1.0,20,18,1.0,1.22830029847154,0.0,1.3974187337491517,-0.12102201809180109,2019-10
2019-10-02,2019-10-01,0.9965489909668716,20,18,0.9965489909668716,1.2240614230461204,-0.0034510090331284493,1.3974187337491517,-0.12405537904728732,2019-10
2019-10-03,2019-10-01,0.9865516940489917,20,17,0.9865516940489917,1.21178174025798,-0.010031917154599945,1.3974187337491517,-0.13284278291670237,2019-10
2019-10-04,2019-10-01,0.9887636085557217,20,17,0.9887636085557217,1.21449863550679,0.002242066503025164,1.3974187337491517,-0.13089855876742343,2019-10
2019-10-07,2019-10-01,0.9949361797150613,20,18,0.9949361797150613,1.2220804065041437,0.006242716768627865,1.3974187337491517,-0.12547300462660224,2019-10
2019-10-08,2019-10-01,1.0081571870769308,20,18,1.0081571870769308,1.2383197737928224,0.013288296909311104,1.3974187337491517,-0.1138520302568728,2019-10
2019-10-09,2019-10-01,1.0081354779997742,20,18,1.0081354779997742,1.2382931085268714,-2.1533424980679783e-05,1.3974187337491517,-0.11387111205770105,2019-10
2019-10-10,2019-10-01,1.0071706478102964,20,17,1.0071706478102964,1.2371080073171614,-0.0009570441776258765,1.3974187337491517,-0.11471917655053235,2019-10
2019-10-11,2019-10-01,1.0104795490000273,20,18,1.0104795490000273,1.2411723316361207,0.0032853431510586617,1.3974187337491517,-0.11181072526044904,2019-10
2019-10-15,2019-10-01,1.0277898866154886,20,17,1.0277898866154886,1.262434624495835,0.017130814406478345,1.3974187337491517,-0.09659531963706118,2019-10
2019-10-16,2019-10-01,1.0322497893121774,20,17,1.0322497893121774,1.2679127243093318,0.004339313662031774,1.3974187337491517,-0.09267516336521887,2019-10
2019-10-17,2019-10-01,1.0327257958551515,20,18,1.0327257958551515,1.2684974032881413,0.0004611350352430321,1.3974187337491517,-0.09225676409470038,2019-10
2019-10-18,2019-10-01,1.036530151501617,20,18,1.036530151501617,1.2731702944641867,0.0036838003482959625,1.3974187337491517,-0.0889128192461091,2019-10
2019-10-21,2019-10-01,1.0481144773653093,20,18,1.0481144773653093,1.2873993253801517,0.011176062603591719,1.3974187337491517,-0.07873045187667381,2019-10
2019-10-23,2019-10-01,1.051194723808107,20,18,1.051194723808107,1.291182793005206,0.002938845430835668,1.3974187337491517,-0.07602298307460358,2019-10
2019-10-24,2019-10-01,1.0522944392535984,20,17,1.0522944392535984,1.292533573815137,0.0010461576914195803,1.3974187337491517,-0.07505635741165223,2019-10
2019-10-25,2019-10-01,1.056864858679462,20,18,1.056864858679462,1.2981474213600652,0.004343289535108985,1.3974187337491517,-0.07103905936823265,2019-10
2019-10-28,2019-10-01,1.0610904273350774,20,18,1.0610904273350774,1.3033376886009695,0.003998210954705428,1.3974187337491517,-0.06732487755890533,2019-10
2019-10-29,2019-10-01,1.06988896704336,20,18,1.06988896704336,1.3141449375507668,0.008291979158062901,1.3974187337491517,-0.05959115488237992,2019-10
2019-10-30,2019-10-01,1.0689910126353774,20,17,1.0689910126353774,1.313041979883428,-0.0008392968201774709,1.3974187337491517,-0.06038043703575392,2019-10
2019-10-31,2019-10-01,1.0633959838530838,20,18,1.0633959838530838,1.3061696043601798,-0.005233934351328462,1.3974187337491517,-0.06529834414353276,2019-10
2019-11-01,2019-10-01,1.071784144723277,20,18,1.071784144723277,1.3164727848606654,0.007888087784382769,1.3974187337491517,-0.05792533542992901,2019-11
2019-11-05,2019-10-01,1.0935653499148805,20,18,1.0935653499148805,1.343226645698582,0.020322380489428804,1.3974187337491517,-0.038780135647084914,2019-11
2019-11-06,2019-10-01,1.101736294500414,20,17,1.101736294500414,1.3532630193717872,0.007471839324617813,1.3974187337491517,-0.031598055265008966,2019-11
2019-11-07,2019-10-01,1.0942928738742863,20,18,1.0942928738742863,1.3441202635950653,-0.0067560818893626085,1.3974187337491517,-0.03814065810545654,2019-11
2019-11-08,2019-10-01,1.103354467702137,20,17,1.103354467702137,1.3552506219984422,0.008280775690120867,1.3974187337491517,-0.03017571664978057,2019-11
2019-11-11,2019-10-01,1.1056212645635612,20,18,1.1056212645635612,1.3580349292599039,0.0020544593127402866,1.3974187337491517,-0.028183252119130066,2019-11
2019-11-12,2019-10-01,1.1172089646853203,20,17,1.1172089646853203,1.3722681047780592,0.010480713869349456,1.3974187337491517,-0.017997918851148948,2019-11
