Code,FCF,CashEq,EquityRatio,MarketCap,CapGroup,TheoreticalValue,ValuationGap,CashRatio,FCFYield
66270,48817000000.0,12171000000.0,0.5958716143658275,81561000000.0,Mid,500341000000.0,5.134561861674085,0.1492257328870416,0.5985336128787043
21210,33494000000.0,90168000000.0,0.6692706844029631,69669040000.0,Mid,425108000000.0,5.101820837491086,1.2942334213303355,0.48075874161607507
31480,21038000000.0,35902000000.0,0.6026291202402275,40566900000.0,Mid,246282000000.0,5.0710086301886514,0.885007234962494,0.5186001395226157
35690,26544000000.0,32432000000.0,0.7418387402033338,49071600000.0,Mid,297872000000.0,5.0701505555147985,0.6609118104973142,0.5409238745017485
34910,19572000000.0,30365000000.0,0.3818501881753065,37422000000.0,Mid,226085000000.0,5.041499652610764,0.811421089198867,0.5230078563411896
28110,38415000000.0,26844000000.0,0.5717896865520729,68477715000.0,Mid,410994000000.0,5.0018649862951765,0.3920107439332635,0.5609854242361912
49020,66388000000.0,103533000000.0,0.43504767732061395,127914175000.0,Mid,767413000000.0,4.999436731699204,0.8093942676798721,0.5190042464019332
48190,12925000000.0,55565000000.0,0.3506639736776387,31170500000.0,Mid,184815000000.0,4.9291637926886,1.7826149724900147,0.4146548820198585
91610,12856000000.0,25242000000.0,0.45592724312695626,25984800000.0,Mid,153802000000.0,4.9189218312244085,0.9714140574489701,0.4947507773775438
90060,60524000000.0,89273000000.0,0.3608652382239153,117537705000.0,Mid,694513000000.0,4.908852823015389,0.7595264855647811,0.5149326337450608
74830,17134000000.0,29572000000.0,0.8646891210637832,34047550000.0,Mid,200912000000.0,4.900923855020405,0.8685500131433833,0.5032373841877023
94180,40849000000.0,56882000000.0,0.41845855371041873,79027080000.0,Mid,465372000000.0,4.888766230512377,0.7197785872893191,0.5168987643223057
33970,51361000000.0,69164000000.0,0.3066922903007009,98976700000.0,Mid,582774000000.0,4.8879918202971,0.6987907254939799,0.5189201094803121
93050,15824000000.0,4982000000.0,0.34951270323986494,27867720000.0,Mid,163222000000.0,4.85702741379632,0.17877314685234386,0.5678254266943977
17660,7619000000.0,131296000000.0,0.5997893559185743,35444500000.0,Mid,207486000000.0,4.853827815316904,3.704270056003047,0.21495577593138568
77300,14171000000.0,17401000000.0,0.9236725472950834,27222600000.0,Mid,159111000000.0,4.844812765863657,0.6392115374725412,0.5205601228391116
64620,13605000000.0,20205000000.0,0.7676758696495538,26970000000.0,Mid,156255000000.0,4.793659621802003,0.7491657397107898,0.5044493882091212
42460,14301000000.0,34931000000.0,0.5494973590049412,30735460000.0,Mid,177941000000.0,4.789436696245965,1.1365048709210794,0.4652931825324885
68070,23212000000.0,48023000000.0,0.6203171236818612,48413040000.0,Mid,280143000000.0,4.786519499705038,0.9919434929101746,0.47945760067948634
60130,30196000000.0,47248000000.0,0.6036238828589895,60363380000.0,Mid,349208000000.0,4.785096858393284,0.7827262157950731,0.5002370642598211
