month,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,filter_pass,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2022-02,,,0.0,0.0,0.0,0,False,1.2032968690204964,0.8540612253498706,1.104681330803364
2022-03,,,0.0,0.0,0.0,0,False,1.2032968690204964,0.8540612253498706,1.104681330803364
2022-04,,,0.0,0.0,0.0,0,False,1.2032968690204964,0.8540612253498706,1.104681330803364
2022-05,,,0.0,0.0,0.0,0,False,1.2032968690204964,0.8540612253498706,1.104681330803364
2022-06,,,0.0,0.0,0.0,0,False,1.2032968690204964,0.8540612253498706,1.104681330803364
2022-07,,,0.0,0.0,0.0,0,False,1.2032968690204964,0.8540612253498706,1.104681330803364
2022-08,2022-08-01,2022-09-01,0.0208101495161202,0.002003235711930021,0.013645668587133387,168,True,1.228337656777092,0.8557721112966661,1.1197554461379002
2022-09,2022-09-01,2022-10-03,-0.02268730383853922,-0.03635707741135661,-0.03804428146762666,179,True,1.2004699871414708,0.8246587383997731,1.0771551547701221
2022-10,,,0.0,0.0,0.0,0,False,1.2004699871414708,0.8246587383997731,1.0771551547701221
2022-11,2022-11-01,2022-12-01,0.037078145641993035,0.03394084808014004,0.0359586890260996,171,True,1.2449811881635438,0.8526483553577597,1.1158882420133611
2022-12,2022-12-01,2023-01-04,-0.048050216279955406,-0.05036862421331864,-0.04447443878360432,165,True,1.1851595728078095,0.8097016307606405,1.066259738704594
2023-01,,,0.0,0.0,0.0,0,False,1.1851595728078095,0.8097016307606405,1.066259738704594
2023-02,,,0.0,0.0,0.0,0,False,1.1851595728078095,0.8097016307606405,1.066259738704594
2023-03,,,0.0,0.0,0.0,0,False,1.1851595728078095,0.8097016307606405,1.066259738704594
2023-04,,,0.0,0.0,0.0,0,False,1.1851595728078095,0.8097016307606405,1.066259738704594
2023-05,,,0.0,0.0,0.0,0,False,1.1851595728078095,0.8097016307606405,1.066259738704594
2023-06,2023-06-01,2023-07-03,0.08652696968198914,0.06968663609398855,0.07089593066876224,177,True,1.28770783923247,0.8661270136481664,1.1418532152146874
2023-07,2023-07-03,2023-08-01,0.016761834618055044,0.000871637282910726,0.0002258189747136744,172,True,1.3092921850700576,0.8668819622449982,1.1421110673370207
2023-08,2023-08-01,2023-09-01,0.02040039253430795,0.015083815608203828,0.021291839841809594,177,True,1.3360022595875884,0.8799578499175797,1.1664287132643187
2023-09,2023-09-01,2023-10-02,0.009006381994915377,-0.009798633112566103,0.011632886289154194,187,True,1.3480348062835044,0.8713354657917148,1.179997645850127
2023-10,2023-10-02,2023-11-01,-0.05766195245750818,-0.035476759982798714,-0.0498729486612691,188,True,1.2703044873725187,0.840423306607322,1.121147683838225
2023-11,,,0.0,0.0,0.0,0,False,1.2703044873725187,0.840423306607322,1.121147683838225
2023-12,,,0.0,0.0,0.0,0,False,1.2703044873725187,0.840423306607322,1.121147683838225
2024-01,,,0.0,0.0,0.0,0,False,1.2703044873725187,0.840423306607322,1.121147683838225
2024-02,,,0.0,0.0,0.0,0,False,1.2703044873725187,0.840423306607322,1.121147683838225
2024-03,,,0.0,0.0,0.0,0,False,1.2703044873725187,0.840423306607322,1.121147683838225
2024-04,2024-04-01,2024-05-01,-0.024485925565800332,-0.020529841367715566,-0.019948616334118808,161,True,1.239199906248813,0.8231695494409428,1.0987823388394504
2024-05,2024-05-01,2024-06-03,-0.000743251857219395,0.0037223098441494813,0.007625643313970092,158,True,1.2382788686170276,0.8262336415582309,1.1071612610351298
2024-06,2024-06-03,2024-07-01,0.030768200479913847,0.031210926464917552,0.0420036927025595,161,True,1.2763784810966774,0.8520211589877459,1.1536661224158278
2024-07,2024-07-01,2024-08-01,-0.018626590838121987,-0.025385045418589332,-0.017199668288587065,163,True,1.252603901374706,0.8303925631692428,1.133823447794495
2024-08,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2024-09,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2024-10,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2024-11,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2024-12,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2025-01,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2025-02,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2025-03,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2025-04,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2025-05,,,0.0,0.0,0.0,0,False,1.252603901374706,0.8303925631692428,1.133823447794495
2025-06,2025-06-02,2025-07-01,0.027441614064680132,0.027573770871941235,0.03454859848461037,193,True,1.286977374212143,0.8532896174398356,1.1729954588447837
2025-07,2025-07-01,2025-08-01,0.05052025407658324,0.056718669882675286,0.056311806499787925,194,True,1.3519957981481545,0.90168706956572,1.239048952148381
2025-08,2025-08-01,2025-09-01,0.07422309118752853,0.050152075346706335,0.07305489551615135,193,True,1.4523451055592604,0.9469085474177309,1.3295675438869778
2025-09,2025-09-01,2025-10-01,-0.0243923051173053,-0.018021872816492538,-0.027194566528829813,194,True,1.416919060608834,0.9298434820073188,1.2934105308601707
2025-10,2025-10-01,2025-11-04,-0.0019512894368889852,0.009297111114116583,-0.006577400637303662,194,True,1.4141542414129413,0.938488340178278,1.2849032516101957
2025-11,2025-11-04,2025-12-01,0.050587304870757376,0.01764963259685235,0.021643452451723937,191,True,1.4856924931575726,0.9550523145788543,1.3127129940414866
