Code,LatestOP,OldestOP,NumPeriods,GrowthCount,IsGrowthA,IsGrowthB,CAGR,IsGrowthC,MarketCap,Price,Date,TheoreticalValue,ValuationGap,MarketCap_to_OP
40620,44527000000.0,47621000000.0,5,2,False,False,-0.016654281603852406,False,4245322620000.0,7854.0,2026-03-13,445270000000.0,-0.8951151561715703,95.34265995912592
35630,13463000000.0,9579000000.0,5,3,False,False,0.08881831653993566,True,1321162000000.0,9640.0,2026-03-13,134630000000.0,-0.8980972810298813,98.13280843794102
57060,71723000000.0,56215000000.0,5,3,False,True,0.06280002986005973,True,7191081800000.0,31580.0,2026-03-13,717230000000.0,-0.9002611818433215,100.26186578921684
65940,21107000000.0,175536000000.0,5,1,False,False,-0.4111359004477759,False,2119567700000.0,2315.0,2026-03-13,211070000000.0,-0.9004183730484286,100.42013076230634
61460,126212000000.0,121490000000.0,5,3,False,True,0.009578351042094813,True,12762993500000.0,69610.0,2026-03-13,1262120000000.0,-0.9011109736912426,101.12345498050898
50160,124805000000.0,112484000000.0,4,2,False,True,0.035254382428545616,True,13434295500000.0,4050.0,2026-03-13,1248050000000.0,-0.9070997061215454,107.64228596610712
31410,22809000000.0,18882000000.0,5,3,False,False,0.048369947451246675,True,2458574800000.0,3160.0,2025-11-26,228090000000.0,-0.9072267396542094,107.78967951247314
97490,6346000000.0,6064000000.0,5,3,False,False,0.011428574012688708,True,685020000000.0,9800.0,2025-05-15,63460000000.0,-0.90736036904032,107.94516230696502
31030,9030000000.0,4294000000.0,5,3,False,True,0.2042216408062596,True,1092687680000.0,1336.0,2026-03-13,90300000000.0,-0.917359734485155,121.00638759689923
70120,45805000000.0,-5305000000.0,5,4,True,True,,False,6132049000000.0,16420.0,2026-03-13,458050000000.0,-0.9253022929203599,133.87291780373323
96130,57786000000.0,58626000000.0,5,3,False,False,-0.0036014373077150053,False,7959222050000.0,3965.0,2025-09-25,577860000000.0,-0.9273974269884832,137.73616533416399
65020,22265000000.0,2738000000.0,5,3,False,False,0.6886798215418097,True,3708398700000.0,4590.0,2023-12-19,222650000000.0,-0.9399606088741214,166.55731866157646
34530,4565000000.0,4379000000.0,5,2,False,False,0.01045379462558893,True,839295600000.0,268000.0,2023-10-27,45650000000.0,-0.9456091512930606,183.8544578313253
285A0,273574000000.0,451748000000.0,5,2,False,True,-0.11784551703678725,False,52211919650000.0,21065.0,2026-03-13,2735740000000.0,-0.9476031523387974,190.85117609860586
32780,5222000000.0,4822000000.0,5,3,False,False,0.02012270862046517,True,1087716650000.0,210500.0,2023-10-27,52220000000.0,-0.9519911734365747,208.2950306396017
68340,4844000000.0,1704000000.0,5,3,False,True,0.298475130327706,True,1032943800000.0,27370.0,2026-03-13,48440000000.0,-0.9531049027062266,213.24190751445087
31100,14933000000.0,11811000000.0,5,3,False,True,0.06038871918401534,True,3416644800000.0,22140.0,2026-03-13,149330000000.0,-0.9562933788142097,228.79828567601956
33500,6287000000.0,350000000.0,5,4,True,True,1.0587037423942633,True,1554156720000.0,373.0,2026-03-13,62870000000.0,-0.9595471941851527,247.20164148242404
69630,9703000000.0,-11080000000.0,5,3,False,True,,False,2858460000000.0,3300.0,2026-03-13,97030000000.0,-0.9660551485765062,294.5954859321859
58030,142196000000.0,96274000000.0,5,3,False,True,0.1024136725276743,True,46808330400000.0,26520.0,2026-03-13,1421960000000.0,-0.9696216466631333,329.18176601310864
